artist,datetime,content,sentiment
Simone Cristicchi,2025-02-11 22:59:37,Simone Cristicchi mi hai fatto piangere tutta l'acqua in corpo  #sanremo2025,positive
Simone Cristicchi,2025-02-11 22:12:19,"Standing ovation e lacrime per Simone #Cristicchi. Il significato di ""Quando sarai piccola""
https://iltempo.it/personaggi/2025/02/11/news/sanremo-2025-simone-cristicchi-significato-canzone-quando-sarai-piccola-madre-41590881/… #Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:11:18,"#Sanremo2025, rivedi l'esibizione di Simone Cristicchi con Quando sarai piccola",positive
Simone Cristicchi,2025-02-11 22:01:05,simone cristicchi - marcella bella - achille lauro #Sanremo2025,positive
Simone Cristicchi,2025-02-11 22:23:53,"Sanremo 2025, Ariston in lacrime per Simone Cristicchi: è standing ovation",positive
Simone Cristicchi,2025-02-11 22:12:03,"#Sanremo2025

Vince Simone 

#cristicchi",positive
Simone Cristicchi,2025-02-11 22:21:05,"Una lettera scritta e dedicata alla mamma.
Simone Cristicchi sei cuore 

#Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:12:10,"Il mio podio:
1°Simone Cristicchi 
2°Giorgia 
3°Achille Lauro 

Per me possiamo anche finirla qui...",positive
Simone Cristicchi,2025-02-11 22:28:58,"22.28 e non mi sono ancora ripresa dalla canzone di Simone Cristicchi.
#Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:33:59,"Sanremo 2025, Ariston in lacrime per Simone Cristicchi: è standing ovation
https://ift.tt/vEKOGUz",positive
Simone Cristicchi,2025-02-11 22:21:05,"Una lettera scritta e dedicata alla mamma.
Simone Cristicchi sei cuore 

#Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:12:10,"Il mio podio:
1°Simone Cristicchi 
2°Giorgia 
3°Achille Lauro 

Per me possiamo anche finirla qui...",positive
Simone Cristicchi,2025-02-11 22:18:21,Simone Cristicchi commuove l'Ariston e si becca la prima standing ovation di Sanremo 2025,positive
Simone Cristicchi,2025-02-11 22:04:02," #Sanremo2025 ""Quando sarai piccola"", è la canzone di Simone #Cristicchi, dedicata alla madre Luciana, colpita nel 2012 da un'emorragia cerebrale",positive
Simone Cristicchi,2025-02-11 22:01:10,"La canzone di Simone Cristicchi inarrivabile per quanto emozionante  
#Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:56:39,"Comunque al momento mia top 3:
1. Giorgia
2. Simone Cristicchi
3. Rose Villain 

Premio hit a Gaia e Coma Cose.",positive
Simone Cristicchi,2025-02-11 22:01:05,simone cristicchi - marcella bella - achille lauro #Sanremo2025,positive
Simone Cristicchi,2025-02-11 22:23:53,"Sanremo 2025, Ariston in lacrime per Simone Cristicchi: è standing ovation",positive
Simone Cristicchi,2025-02-11 22:19:21,"Fino a ora mi sono piaciuti Simone Cristicchi e Willie Peyote. Ce l'ho con i Coma Cose che ormai hanno assaporato i soldi e smesso di scrivere 

#Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:26:22,"Simone Cristicchi mi ha toccato il cuore.
In Italia, oltre un milione di persone convive con la demenza, e circa 600.000 di queste sono affette da Alzheimer.
Questo significa che milioni di famiglie affrontano quotidianamente la sfida di restituire ai propri cari l’amore e le",positive
Simone Cristicchi,2025-02-11 22:33:08,chissà se marcella bella e simone cristicchi si scambiano consigli di hair care routine,positive
Simone Cristicchi,2025-02-11 22:27:25,"#San #Remo 
Ti  ripeterò il mio nome mille volte fino a quando  lo ricorderai
per restituirti tutto, 
tutto il bene che mi hai dato. 
C'è  quella rabbia di vederti cambiare  e la fatica di doverlo accettare....

Grazia per la tua sensibilità 
#Simone #cristicchi",positive
Simone Cristicchi,2025-02-11 22:12:03,"#Sanremo2025

Vince Simone 

#cristicchi",positive
Simone Cristicchi,2025-02-11 22:40:51,simone cristicchi,positive
Simone Cristicchi,2025-02-11 22:59:37,Simone Cristicchi mi hai fatto piangere tutta l'acqua in corpo  #sanremo2025,positive
Simone Cristicchi,2025-02-11 22:12:19,"Standing ovation e lacrime per Simone #Cristicchi. Il significato di ""Quando sarai piccola""
https://iltempo.it/personaggi/2025/02/11/news/sanremo-2025-simone-cristicchi-significato-canzone-quando-sarai-piccola-madre-41590881/… #Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:11:18,"#Sanremo2025, rivedi l'esibizione di Simone Cristicchi con Quando sarai piccola",positive
Simone Cristicchi,2025-02-11 22:01:05,simone cristicchi - marcella bella - achille lauro #Sanremo2025,positive
Simone Cristicchi,2025-02-11 22:23:53,"Sanremo 2025, Ariston in lacrime per Simone Cristicchi: è standing ovation",positive
Simone Cristicchi,2025-02-11 22:12:03,"#Sanremo2025

Vince Simone 

#cristicchi",positive
Simone Cristicchi,2025-02-11 22:21:05,"Una lettera scritta e dedicata alla mamma.
Simone Cristicchi sei cuore 

#Sanremo2025",positive
Simone Cristicchi,2025-02-11 22:12:10,"Il mio podio:
1°Simone Cristicchi 
2°Giorgia 
3°Achille Lauro 

Per me possiamo anche finirla qui...",positive
